elapsed,label,grpThreads,allThreads
57801,localhost Memory,0,0
13092,localhost CPU,0,0
0,localhost Network I/O,0,0
57990,localhost Memory,0,0
62275,localhost CPU,0,0
720000,localhost Network I/O,0,0
57973,localhost Memory,0,0
69272,localhost CPU,0,0
468000,localhost Network I/O,0,0
57973,localhost Memory,0,0
52739,localhost CPU,0,0
0,localhost Network I/O,0,0
57970,localhost Memory,0,0
65975,localhost CPU,0,0
0,localhost Network I/O,0,0
57950,localhost Memory,0,0
52750,localhost CPU,0,0
0,localhost Network I/O,0,0
58307,localhost Memory,0,0
67191,localhost CPU,0,0
516000,localhost Network I/O,0,0
58265,localhost Memory,0,0
67558,localhost CPU,0,0
0,localhost Network I/O,0,0
58176,localhost Memory,0,0
42975,localhost CPU,0,0
0,localhost Network I/O,0,0
58168,localhost Memory,0,0
61924,localhost CPU,0,0
0,localhost Network I/O,0,0
58144,localhost Memory,0,0
63525,localhost CPU,0,0
0,localhost Network I/O,0,0
57963,localhost Memory,0,0
49766,localhost CPU,0,0
0,localhost Network I/O,0,0
58136,localhost Memory,0,0
58085,localhost CPU,0,0
0,localhost Network I/O,0,0
58146,localhost Memory,0,0
60559,localhost CPU,0,0
0,localhost Network I/O,0,0
58133,localhost Memory,0,0
46461,localhost CPU,0,0
0,localhost Network I/O,0,0
58162,localhost Memory,0,0
62658,localhost CPU,0,0
372000,localhost Network I/O,0,0
58173,localhost Memory,0,0
53126,localhost CPU,0,0
0,localhost Network I/O,0,0
58164,localhost Memory,0,0
56614,localhost CPU,0,0
0,localhost Network I/O,0,0
58329,localhost Memory,0,0
69932,localhost CPU,0,0
0,localhost Network I/O,0,0
